order_line_id,order_id,customer_id,product_id,quantity,unit_price,order_ts,status,updated_at
OL-000200000,ORD-00066666,CUST-003124,PROD-0148,1,1458.87,2026-09-01 08:00:00,delivered,2026-09-01 12:00:00
OL-000200001,ORD-00066667,CUST-003248,PROD-0099,6,3263.31,2026-09-01 09:00:00,delivered,2026-09-01 13:00:00
OL-000200002,ORD-00066667,CUST-002106,PROD-0443,8,2970.07,2026-09-01 10:00:00,delivered,2026-09-01 14:00:00
OL-000200003,ORD-00066667,CUST-003895,PROD-0445,9,4268.86,2026-09-01 11:00:00,delivered,2026-09-01 15:00:00
OL-000200004,ORD-00066668,CUST-003360,PROD-0128,1,4102.1,2026-09-01 12:00:00,delivered,2026-09-01 16:00:00
OL-000200005,ORD-00066668,CUST-003419,PROD-0508,2,871.68,2026-09-01 13:00:00,shipped,2026-09-01 17:00:00
OL-000200006,ORD-00066668,CUST-002076,PROD-0279,7,2914.98,2026-09-01 14:00:00,delivered,2026-09-01 18:00:00
OL-000200007,ORD-00066669,CUST-002373,PROD-0063,7,417.33,2026-09-01 15:00:00,shipped,2026-09-01 19:00:00
OL-000200008,ORD-00066669,CUST-001214,PROD-0282,1,4046.98,2026-09-01 16:00:00,delivered,2026-09-01 12:00:00
OL-000200009,ORD-00066669,CUST-003505,PROD-0834,9,3038.08,2026-09-01 17:00:00,delivered,2026-09-01 13:00:00
OL-000200010,ORD-00066670,CUST-002551,PROD-0469,1,560.38,2026-09-01 18:00:00,delivered,2026-09-01 14:00:00
OL-000200011,ORD-00066670,CUST-002721,PROD-0718,6,1665.25,2026-09-01 19:00:00,delivered,2026-09-01 15:00:00
OL-000200012,ORD-00066670,CUST-003199,PROD-0328,3,4090.32,2026-09-01 08:00:00,placed,2026-09-01 16:00:00
OL-000200013,ORD-00066671,CUST-000762,PROD-0689,5,1842.48,2026-09-01 09:00:00,delivered,2026-09-01 17:00:00
OL-000200014,ORD-00066671,CUST-001217,PROD-0507,9,3221.23,2026-09-01 10:00:00,delivered,2026-09-01 18:00:00
OL-000200015,ORD-00066671,CUST-000170,PROD-0485,6,3467.03,2026-09-01 11:00:00,cancelled,2026-09-01 19:00:00
OL-000200016,ORD-00066672,CUST-002642,PROD-0089,2,1796.01,2026-09-01 12:00:00,delivered,2026-09-01 12:00:00
OL-000200017,ORD-00066672,CUST-001260,PROD-0112,3,2806.74,2026-09-01 13:00:00,delivered,2026-09-01 13:00:00
OL-000200018,ORD-00066672,CUST-000156,PROD-0151,7,2193.6,2026-09-01 14:00:00,placed,2026-09-01 14:00:00
OL-000200019,ORD-00066673,CUST-000070,PROD-0792,2,709.84,2026-09-01 15:00:00,delivered,2026-09-01 15:00:00
OL-000200020,ORD-00066673,CUST-002181,PROD-0511,6,674.77,2026-09-01 16:00:00,shipped,2026-09-01 16:00:00
OL-000200021,ORD-00066673,CUST-003512,PROD-0395,8,4068.45,2026-09-01 17:00:00,placed,2026-09-01 17:00:00
OL-000200022,ORD-00066674,CUST-000845,PROD-0868,1,555.02,2026-09-01 18:00:00,delivered,2026-09-01 18:00:00
OL-000200023,ORD-00066674,CUST-003831,PROD-0590,7,1027.87,2026-09-01 19:00:00,delivered,2026-09-01 19:00:00
OL-000200024,ORD-00066674,CUST-001341,PROD-0408,7,4390.28,2026-09-01 08:00:00,delivered,2026-09-01 12:00:00
OL-000200025,ORD-00066675,CUST-003209,PROD-0848,3,2635.89,2026-09-01 09:00:00,shipped,2026-09-01 13:00:00
OL-000200026,ORD-00066675,CUST-003928,PROD-0308,1,3253.97,2026-09-01 10:00:00,shipped,2026-09-01 14:00:00
OL-000200027,ORD-00066675,CUST-001572,PROD-0843,4,3754.47,2026-09-01 11:00:00,cancelled,2026-09-01 15:00:00
OL-000200028,ORD-00066676,CUST-002054,PROD-0063,4,404.04,2026-09-01 12:00:00,placed,2026-09-01 16:00:00
OL-000200029,ORD-00066676,CUST-002512,PROD-0868,1,2674.4,2026-09-01 13:00:00,delivered,2026-09-01 17:00:00
OL-000200030,ORD-00066676,CUST-003896,PROD-0115,9,4149.44,2026-09-01 14:00:00,delivered,2026-09-01 18:00:00
OL-000200031,ORD-00066677,CUST-001839,PROD-0783,5,1147.82,2026-09-01 15:00:00,delivered,2026-09-01 19:00:00
OL-000200032,ORD-00066677,CUST-002865,PROD-0225,4,148.62,2026-09-01 16:00:00,shipped,2026-09-01 12:00:00
OL-000200033,ORD-00066677,CUST-001742,PROD-0109,7,1060.75,2026-09-01 17:00:00,placed,2026-09-01 13:00:00
OL-000200034,ORD-00066678,CUST-001281,PROD-0268,7,664.73,2026-09-01 18:00:00,delivered,2026-09-01 14:00:00
OL-000200035,ORD-00066678,CUST-002837,PROD-0249,9,2814.02,2026-09-01 19:00:00,shipped,2026-09-01 15:00:00
OL-000200036,ORD-00066678,CUST-001962,PROD-0717,1,544.65,2026-09-01 08:00:00,delivered,2026-09-01 16:00:00
OL-000200037,ORD-00066679,CUST-001392,PROD-0146,2,2374.56,2026-09-01 09:00:00,delivered,2026-09-01 17:00:00
OL-000200038,ORD-00066679,CUST-001946,PROD-0656,1,3534.57,2026-09-01 10:00:00,shipped,2026-09-01 18:00:00
OL-000200039,ORD-00066679,CUST-001970,PROD-0455,8,1519.45,2026-09-01 11:00:00,delivered,2026-09-01 19:00:00
OL-000200040,ORD-00066680,CUST-002250,PROD-0625,9,2398.38,2026-09-01 12:00:00,delivered,2026-09-01 12:00:00
OL-000200041,ORD-00066680,CUST-002356,PROD-0073,7,2544.42,2026-09-01 13:00:00,shipped,2026-09-01 13:00:00
OL-000200042,ORD-00066680,CUST-000102,PROD-0662,3,2957.81,2026-09-01 14:00:00,shipped,2026-09-01 14:00:00
OL-000200043,ORD-00066681,CUST-003660,PROD-0669,2,4352.58,2026-09-01 15:00:00,shipped,2026-09-01 15:00:00
OL-000200044,ORD-00066681,CUST-002991,PROD-0830,4,2978.03,2026-09-01 16:00:00,delivered,2026-09-01 16:00:00
OL-000200045,ORD-00066681,CUST-001893,PROD-0430,5,915.0,2026-09-01 17:00:00,shipped,2026-09-01 17:00:00
OL-000200046,ORD-00066682,CUST-002843,PROD-0274,6,2265.43,2026-09-01 18:00:00,delivered,2026-09-01 18:00:00
OL-000200047,ORD-00066682,CUST-001468,PROD-0341,2,3884.36,2026-09-01 19:00:00,delivered,2026-09-01 19:00:00
OL-000200048,ORD-00066682,CUST-001833,PROD-0335,7,3387.82,2026-09-01 08:00:00,delivered,2026-09-01 12:00:00
OL-000200049,ORD-00066683,CUST-001897,PROD-0187,4,1227.43,2026-09-01 09:00:00,delivered,2026-09-01 13:00:00
OL-000200050,ORD-00066683,CUST-002431,PROD-0301,7,1242.78,2026-09-01 10:00:00,delivered,2026-09-01 14:00:00
OL-000200051,ORD-00066683,CUST-001241,PROD-0134,1,4558.66,2026-09-01 11:00:00,delivered,2026-09-01 15:00:00
OL-000200052,ORD-00066684,CUST-002817,PROD-0658,4,775.74,2026-09-01 12:00:00,delivered,2026-09-01 16:00:00
