order_item_id,order_id,product_id,quantity,unit_price,line_total
OI001,O001,P001,1,999.99,999.99
OI002,O001,P002,1,29.99,29.99
OI003,O002,P003,1,249.99,249.99
OI004,O002,P004,1,29.99,29.99
OI005,O003,P003,1,249.99,249.99
OI006,O004,P004,1,49.99,49.99
OI007,O004,P005,1,39.99,39.99
OI008,O004,P002,2,29.99,59.98
OI009,O005,P006,1,89.99,89.99
OI010,O007,P007,1,59.99,59.99
OI011,O007,P008,1,79.99,79.99
OI012,O008,P005,1,39.99,39.99
OI013,O009,P999,1,50.00,50.00
OI014,O010,P008,1,79.99,79.99
OI015,O001,P001,1,999.99,999.99
